name_de-DE,name_ch-DE,name_en-GB,name_nl-NL,cid_primarix,id_primarix
Abenteuerreise - Expeditionsreise,Abenteuer,,,17,523
Aktivreise,Aktiv,,,17,524
Angelreise,Angeln,,,17,525
Archäologische Reise,,,,17,666
Aufenthaltsreise,,,,17,665
Ausflug (Tagestour),Ausflug,,,17,526
Ausstellungsreise,,,,17,699
Badeurlaub,Baden,,,17,527
Bahnreise,Bahn,,,17,528
Bausteinprogramm,Bausteinprogramm,,,17,529
Busreise,Bus,,,17,530
Erlebnisreise,Erlebnis,,,17,532
Fahrradreise,Fahrrad,,,17,533
Flugsafari,,,,17,554
Fly-Drive Angebot (Flug u. Mietfahrzeug),Fly-drive,,,17,534
Fotoreise,,,,17,8837
Golfreise,Golf,,,17,535
Hausboot-Ferien,Hausboot,,,17,536
Individualreise,Individual,,,17,537
Kreuzfahrt - Expeditionskreuzfahrt,,,,17,8841
Kreuzfahrt - Fluss,Kreuzfahrt - Fluss,,,17,539
Kreuzfahrt - Hochsee,Kreuzfahrt - Hochsee,,,17,540
Kreuzfahrt - Segeltörn - Segelkreuzfahrt,,,,17,730
Kreuzfahrt - Yacht,Kreuzfahrt - Yacht,,,17,541
Kulturreise,,,,17,700
Literaturreise,,,,17,667
Luxus-Reise (First-Class),,,,17,701
Mietwagen (Fahrzeugmiete),Mietwagen,,,17,543
Mietwagenreise (mit Unterkünften),Mietwagenreise,,,17,545
Mietwagenreisen Kolumbien,,,,17,8905
Motorradreise,Motorradreise,,,17,547
Privatreise,Privat,,,17,548
Reisen für Alleinreisende (ohne EZ-Zuschl.),,,,17,8842
Reisen für junge Leute,Young Selection,,,17,549
Reisen in kleinen Gruppen,Kleingruppe,,,17,550
Reisen mit Kindern,Kinder,,,17,551
Safari - Campingsafari - Lodgesafari,,,,17,552
Sonderreise - Sondergruppe,Sonderreise,,,17,555
Sprachreise,Sprachreise,,,17,556
Städtereise,Städtereise,,,17,557
Stopover Programm,Stopover,,,17,558
Studienreise Europa,,,,17,670
Studienreise-Gruppenreise Weltweit,,,,17,671
Tauchreisen,Tauchen,,,17,560
Themenreise,,,,17,664
Wanderreise,Wandern,,,17,561
Wellness-Reise,,,,17,668
Weltreise,Weltreise,,,17,562
Wohnmobil (Fahrzeugmiete),Wohnmobil,,,17,563
Wohnmobilreise (geführt),Wohnmobilreise,,,17,564
Skireise,,,,17,8944
